Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
A1BG	ADH1A	0.367	0.067	0.014	0.002	0.079	0.388	core
A1BG	AGXT	0.393	0.057	0.024	0.0	0.079	0.436	core
A1BG	AHSG	0.603	0.531	0.078	0.145	0.119	0.463	core
A1BG	AKR1C4	0.327	0.166	0.115	0.088	0.146	0.386	core
A1BG	ALB	0.524	0.556	0.019	0.01	0.224	0.372	core
A1BG	ALDH8A1	0.344	0.003	0.056	0.011	0.166	0.443	core
A1BG	AMBP	0.598	0.543	0.146	0.004	0.091	0.454	core
A1BG	ANG	0.304	0.362	0.05	0.169	0.122	0.378	core
A1BG	APCS	0.327	0.387	0.087	0.004	0.09	0.295	core
A1BG	APOA1	0.563	0.551	0.078	0.119	0.194	0.426	core
A1BG	APOA2	0.654	0.561	0.08	0.078	0.4	0.534	core
A1BG	APOA4	0.521	0.517	0.033	0.003	0.35	0.399	core
A1BG	APOB	0.323	0.411	0.1	0.125	0.216	0.388	core
A1BG	APOC1	0.356	0.51	0.027	0.133	0.078	0.313	core
A1BG	APOC2	0.444	0.458	0.037	0.081	0.096	0.44	core
A1BG	APOC3	0.578	0.514	0.035	0.004	0.291	0.557	core
A1BG	APOH	0.61	0.554	0.144	0.015	0.16	0.478	core
A1BG	APOM	0.391	0.477	0.051	0.119	0.108	0.373	core
A1BG	ASPDH	0.302	0.02	0.076	0.036	0.145	0.448	core
A1BG	AZGP1	0.437	0.568	0.035	0.15	0.109	0.299	core
A1BG	C3	0.464	0.556	0.056	0.086	0.164	0.378	core
A1BG	C5	0.396	0.545	0.032	0.004	0.096	0.344	core
A1BG	C6	0.443	0.528	0.104	0.016	0.114	0.319	core
A1BG	C8B	0.436	0.516	0.039	0.009	0.091	0.3	core
A1BG	C8G	0.456	0.533	0.249	0.002	0.101	0.358	core
A1BG	C9	0.515	0.541	0.025	0.11	0.108	0.372	core
A1BG	CFB	0.628	0.544	0.127	0.005	0.407	0.426	core
